model,fold,MAE,RMSE,R2,bias_pred_minus_actual
Seasonal naive,1,22.285714285714285,26.365561953860514,0.46172021967352384,1.1428571428571428
Ridge alpha 0.1,1,10.267373502687471,13.946920715082342,0.8493772175602463,1.4590679173590462
Ridge alpha 1,1,10.370929425484755,14.336200973122706,0.8408516416925447,2.2341991208535554
Ridge alpha 10,1,11.83851412544203,16.13014344959084,0.7985299652601648,2.868324728891765
Forest depth 6 leaf 3,1,11.929246122250909,15.226522646384021,0.8204706463032903,5.341177086641598
Forest depth 6 leaf 8,1,12.465709202170416,16.079669552536426,0.7997888589104001,6.5392309100462915
Forest depth None leaf 3,1,11.85954051058066,14.967218899563024,0.8265332576406526,5.237498257199122
Forest depth None leaf 8,1,12.487596325351621,16.098574885285128,0.7993177940876849,6.599874056143945
Seasonal naive,2,25.62857142857143,32.552814229889776,0.1956538172697283,1.3428571428571427
Ridge alpha 0.1,2,12.808455775099333,16.454868483148754,0.7944796851943956,-2.142360722757099
Ridge alpha 1,2,12.626802978648035,16.346492371061856,0.7971779921595279,-1.3218159677437127
Ridge alpha 10,2,14.546257290274164,17.255616196722052,0.7739904084003317,0.4301646158557974
Forest depth 6 leaf 3,2,18.64942548402225,23.316493471609295,0.5873399734123261,2.98809591672992
Forest depth 6 leaf 8,2,18.95893120017621,23.68098690855121,0.5743373730821681,2.774886257686902
Forest depth None leaf 3,2,18.57885837030032,23.31529409223836,0.5873824260387619,2.9087387686717867
Forest depth None leaf 8,2,18.86073715909623,23.62563449180216,0.5763249522907684,2.72242180460217
Seasonal naive,3,30.228571428571428,38.84621695131421,0.13505116531520356,-1.4285714285714286
Ridge alpha 0.1,3,10.517537068736367,14.354669135969333,0.8818919963345049,-4.917127366774043
Ridge alpha 1,3,10.947360018061312,14.884561230037011,0.873011314067475,-5.007949715252934
Ridge alpha 10,3,13.540809827973224,17.67709247225067,0.8208921490911832,-5.9803552049059885
Forest depth 6 leaf 3,3,13.218573687311173,18.184928188398818,0.8104533400441248,-2.2648360320172083
Forest depth 6 leaf 8,3,14.657884280193656,19.7881497206386,0.7755584131622122,-1.6705566179982823
Forest depth None leaf 3,3,13.225577886894866,18.07292610493668,0.812781008687452,-2.3360344769318178
Forest depth None leaf 8,3,14.67201446909184,19.73101366135669,0.7768526417266648,-1.7900709827768513
Seasonal naive,4,31.142857142857142,41.03796151996692,-0.013816732221940464,-1.6
Ridge alpha 0.1,4,11.925766904672692,14.407290053376334,0.8750453293658177,-5.008256554745126
Ridge alpha 1,4,12.004171775049391,14.564046866066507,0.8723114279116555,-5.2537969214405065
Ridge alpha 10,4,13.197855998908935,16.48182589182327,0.836469584961276,-7.096755833738105
Forest depth 6 leaf 3,4,14.036185462378208,18.443406803931936,0.7952281820816057,-6.640154776126368
Forest depth 6 leaf 8,4,14.848894417587013,19.23538451504352,0.7772643983923082,-6.230825361651024
Forest depth None leaf 3,4,14.155585645009742,18.619764262357496,0.7912933672448885,-7.196265915136446
Forest depth None leaf 8,4,14.88600953948224,19.304816120866604,0.7756535336508503,-6.459237065440043
