date,shipments,trend,weekday,promotion,annual_sin,annual_cos
2025-01-01,189,0,2,0,0.0,1.0
2025-01-02,166,1,3,0,0.017201575418260506,0.9998520419557735
2025-01-03,211,2,4,0,0.03439806061360801,0.9994082116062598
2025-01-04,154,3,5,0,0.051584366869408364,0.9986686402879997
2025-01-05,99,4,6,0,0.06875540848113941,0.9976335468520451
2025-01-06,189,5,0,0,0.08590610426133272,0.9963032375991965
2025-01-07,199,6,1,0,0.10303137904317879,0.9946781061893646
2025-01-08,184,7,2,0,0.1201261651823505,0.9927586335250793
2025-01-09,183,8,3,0,0.13718540405660057,0.9905453876091833
2025-01-10,192,9,4,0,0.1542040475626894,0.988039023376751
2025-01-11,157,10,5,0,0.17117705961019986,0.985240282501282
2025-01-12,141,11,6,0,0.18809941761179758,0.9821499931752291
2025-01-13,211,12,0,0,0.20496611396949532,0.9787690698649216
2025-01-14,216,13,1,0,0.22177215755648186,0.975098513039961
2025-01-15,198,14,2,0,0.23851257519407648,0.9711394088771653
2025-01-16,174,15,3,0,0.2551824131233728,0.9668929289391521
2025-01-17,212,16,4,0,0.2717767384711357,0.9623603298276545
2025-01-18,134,17,5,0,0.2882906407095177,0.9575429528116719
2025-01-19,145,18,6,0,0.3047192331091634,0.9524422234305676
2025-01-20,212,19,0,0,0.321057654185271,0.9470596510722283
2025-01-21,201,20,1,0,0.3373010691361842,0.9413968285264122
2025-01-22,184,21,2,0,0.3534446712740877,0.9354554315134164
2025-01-23,206,22,3,0,0.3694836834473831,0.9292372181882051
2025-01-24,208,23,4,0,0.38541335945432564,0.9227440286201427
2025-01-25,144,24,5,0,0.4012289854475009,0.9159777842484877
2025-01-26,131,25,6,0,0.4169258813287287,0.908940487313808
2025-01-27,223,26,0,0,0.4324994021339788,0.901634220265486
2025-01-28,211,27,1,0,0.44794493940789115,0.8940611451454876
2025-01-29,247,28,2,1,0.4632579225674917,0.88622350294858
2025-01-30,243,29,3,1,0.4784338202547012,0.8781236129591848
2025-01-31,287,30,4,1,0.49346814167723735,0.8697638720650646
2025-02-01,192,31,5,1,0.5083564379375122,0.8611467540480452
2025-02-02,176,32,6,1,0.5230943033491326,0.8522748088519838
2025-02-03,252,33,0,1,0.5376773767406141,0.8431506618282
2025-02-04,263,34,1,1,0.5521013427459208,0.8337770129585915
2025-02-05,215,35,2,0,0.5663619330814524,0.8241566360566663
2025-02-06,193,36,3,0,0.580454927809098,0.8142923779467267
2025-02-07,203,37,4,0,0.5943761565849831,0.804187157621448
2025-02-08,144,38,5,0,0.6081214998935418,0.7938439653781019
2025-02-09,150,39,6,0,0.6216868902665479,0.7832658619336791
2025-02-10,232,40,0,0,0.6350683134867438,0.7724559775191742
2025-02-11,219,41,1,0,0.6482618097757122,0.7614175109532997
2025-02-12,193,42,2,0,0.6612634749656386,0.7501537286959042
2025-02-13,201,43,3,0,0.6740694616546161,0.7386679638813748
2025-02-14,219,44,4,0,0.6866759803451553,0.726963615332308
2025-02-15,161,45,5,0,0.6990793005655562,0.7150441465537444
2025-02-16,156,46,6,0,0.7112757519738152,0.7029130847082615
2025-02-17,227,47,0,0,0.7232617254437388,0.6905740195722294
2025-02-18,223,48,1,0,0.7350336741329412,0.6780306024735382
2025-02-19,205,49,2,0,0.746588114532413,0.6652865452111116
2025-02-20,204,50,3,0,0.7579216274973472,0.6523456189565257
2025-02-21,229,51,4,0,0.7690308592589181,0.6392116531380588
2025-02-22,140,52,5,0,0.7799125224167177,0.6258885343075018
2025-02-23,141,53,6,0,0.7905633969115482,0.612380204990065
2025-02-24,219,54,0,0,0.8009803309782905,0.5986906625177214
2025-02-25,207,55,1,0,0.8111602420785621,0.5848239578463322
2025-02-26,203,56,2,0,0.8211001178128892,0.5707841943569036
2025-02-27,223,57,3,0,0.8307970168121247,0.5565755266413303
2025-02-28,210,58,4,0,0.8402480696078469,0.5422021592729844
2025-03-01,176,59,5,0,0.8494504794814806,0.527668345562516
2025-03-02,124,60,6,0,0.8584015232918917,0.512978386299228
2025-03-03,223,61,0,0,0.8670985522812081,0.4981366284784055
2025-03-04,220,62,1,0,0.8755389928586302,0.4831474640149687
2025-03-05,262,63,2,1,0.8837203473619977,0.4680153284438345
2025-03-06,259,64,3,1,0.8916401947968874,0.45274469960737107
2025-03-07,280,65,4,1,0.8992961915530253,0.4373400963303323
2025-03-08,204,66,5,1,0.9066860720977985,0.4218060770826634
2025-03-09,188,67,6,1,0.9138076496466615,0.40614723863057883
2025-03-10,287,68,0,1,0.9206588168102428,0.3903682146763026
2025-03-11,262,69,1,1,0.9272375462179537,0.374473674486883
2025-03-12,192,70,2,0,0.9335418911179212,0.35846832151248087
2025-03-13,190,71,3,0,0.9395699859530622,0.342356891994542
2025-03-14,213,72,4,0,0.945320046913132,0.3261441535642696
2025-03-15,173,73,5,0,0.9507903724625832,0.3098349038318025
2025-03-16,153,74,6,0,0.9559793438440766,0.2934339689665273
2025-03-17,241,75,0,0,0.9608854255574977,0.27694620226893646
2025-03-18,216,76,1,0,0.9655071658143364,0.2603764827344581
2025-03-19,214,77,2,0,0.969843196967294,0.24372971360968387
2025-03-20,216,78,3,0,0.9738922359149924,0.22701082094141847
2025-03-21,223,79,4,0,0.9776530844816641,0.2102247521189836
2025-03-22,174,80,5,0,0.981124629771712,0.19337647441020586
2025-03-23,143,81,6,0,0.984305844499033,0.17647097349152166
2025-03-24,228,82,0,0,0.9871957872910085,0.15951325197263655
2025-03-25,217,83,1,0,0.9897936029670716,0.14250832791617088
2025-03-26,196,84,2,0,0.992098522791769,0.12546123335273648
2025-03-27,215,85,3,0,0.9941098647022418,0.10837701279187609
2025-03-28,222,86,4,0,0.9958270335100595,0.09126072172931188
2025-03-29,169,87,5,0,0.9972495210773451,0.07411742515094437
2025-03-30,160,88,6,0,0.998376906467142,0.056952196034039754
2025-03-31,240,89,0,0,0.9992088560679753,0.03977011384605572
2025-04-01,233,90,1,0,0.9997451236925734,0.022576263041545485
2025-04-02,213,91,2,0,0.9999855506507186,0.005375731557583884
2025-04-03,203,92,3,0,0.9999300657962057,-0.011826390691832589
2025-04-04,228,93,4,0,0.9995786855478958,-0.029025013321975237
2025-04-05,146,94,5,0,0.9989315138848577,-0.046215046983708354
2025-04-06,134,95,6,0,0.9979887423155984,-0.06339140486951038
2025-04-07,216,96,0,0,0.9967506498213929,-0.08054900421874167
2025-04-08,211,97,1,0,0.9952176027737294,-0.09768276782171598
2025-04-09,265,98,2,1,0.9933900548258936,-0.11478762552212701
2025-04-10,242,99,3,1,0.9912685467787256,-0.13185851571739118
2025-04-11,270,100,4,1,0.9888537064205885,-0.1488903868564548
2025-04-12,233,101,5,1,0.986146248341595,-0.16587819893463143
2025-04-13,195,102,6,1,0.9831469737221499,-0.1828169249850199
2025-04-14,290,103,0,1,0.9798567700958665,-0.1997015525660636
2025-04-15,257,104,1,1,0.9762766110869321,-0.21652708524481437
2025-04-16,212,105,2,0,0.9724075561219968,-0.23328854407545518
2025-04-17,197,106,3,0,0.9682507501166718,-0.2499809690726521
2025-04-18,225,107,4,0,0.9638074231367307,-0.26659942067929354
2025-04-19,182,108,5,0,0.9590788900341131,-0.28313898122818354
2025-04-20,131,109,6,0,0.9540665500578387,-0.2995947563972602
2025-04-21,241,110,0,0,0.9487718864399473,-0.31596187665790293
2025-04-22,229,111,1,0,0.9431964659565866,-0.33223549871590435
2025-04-23,207,112,2,0,0.9373419384643772,-0.3484108069446808
2025-04-24,190,113,3,0,0.9312100364121947,-0.3644830148102912
2025-04-25,231,114,4,0,0.9248025743285089,-0.38044736628785164
2025-04-26,163,115,5,0,0.9181214482844365,-0.39629913726891813
2025-04-27,159,116,6,0,0.9111686353326631,-0.41203363695942635
2025-04-28,236,117,0,0,0.9039461929224011,-0.42764620926777464
2025-04-29,248,118,1,0,0.8964562582905575,-0.44313223418263453
2025-04-30,212,119,2,0,0.8887010478292915,-0.45848712914008766
2025-05-01,196,120,3,0,0.8806828564301475,-0.47370635037968
2025-05-02,233,121,4,0,0.8724040568049612,-0.48878539428899265
2025-05-03,173,122,5,0,0.8638670987837349,-0.503719798736334
2025-05-04,174,123,6,0,0.8550745085896932,-0.518505144391157
2025-05-05,247,124,0,0,0.8460288880917339,-0.533137056031809
2025-05-06,230,125,1,0,0.8367329140344921,-0.5476112038402312
2025-05-07,235,126,2,0,0.8271893372462497,-0.5619233046832195
2025-05-08,193,127,3,0,0.8174009818249189,-0.5760691233798758
2025-05-09,221,128,4,0,0.8073707443023492,-0.5900444739548627
2025-05-10,157,129,5,0,0.7971015927871943,-0.6038452208771035
2025-05-11,149,130,6,0,0.7865965660866021,-0.6174672802835514
2025-05-12,215,131,0,0,0.7758587728069828,-0.6309066211876704
2025-05-13,234,132,1,0,0.7648913904341226,-0.6441592666722685
2025-05-14,256,133,2,1,0.753697664392914,-0.6572212950663319
2025-05-15,234,134,3,1,0.742280907086982,-0.6700888411055113
2025-05-16,260,135,4,1,0.7306444969184916,-0.6827580970759147
2025-05-17,219,136,5,1,0.7187918772884232,-0.6952253139408722
2025-05-18,211,137,6,1,0.7067265555776158,-0.7074868024503348
2025-05-19,307,138,0,1,0.6944521021088763,-0.719538934232584
2025-05-20,310,139,1,1,0.6819721490904629,-0.7313781428679254
2025-05-21,220,140,2,0,0.6692903895412567,-0.7430009249440493
2025-05-22,195,141,3,0,0.6564105761979381,-0.7544038410927472
2025-05-23,199,142,4,0,0.6433365204044917,-0.765583517007675
2025-05-24,172,143,5,0,0.6300720909843687,-0.7765366444428655
2025-05-25,142,144,6,0,0.6166212130956382,-0.7872599821916922
2025-05-26,227,145,0,0,0.6029878670694714,-0.7977503570459932
2025-05-27,215,146,1,0,0.5891760872322963,-0.8080046647350754
2025-05-28,211,147,2,0,0.5751899607119775,-0.8180198708443175
2025-05-29,223,148,3,0,0.5610336262283677,-0.8277930117131022
2025-05-30,230,149,4,0,0.5467112728685939,-0.8373211953118121
2025-05-31,165,150,5,0,0.5322271388474397,-0.8466016020976267
2025-06-01,138,151,6,0,0.5175855102531889,-0.8556314858488706
2025-06-02,209,152,0,0,0.5027907197793043,-0.8644081744776648
2025-06-03,215,153,1,0,0.4878471454423119,-0.8729290708206411
2025-06-04,211,154,2,0,0.47275920928627757,-0.881191653407483
2025-06-05,232,155,3,0,0.4575313760742512,-0.8891934772070711
2025-06-06,229,156,4,0,0.44216815196707204,-0.8969321743510065
2025-06-07,180,157,5,0,0.42667408318992467,-0.9044054548343001
2025-06-08,144,158,6,0,0.4110537546870351,-0.9116111071930239
2025-06-09,215,159,0,0,0.3953117887649151,-0.9185469991587165
2025-06-10,208,160,1,0,0.37945284372454435,-0.925211078289358
2025-06-11,201,161,2,0,0.36348161248290634,-0.9316013725767187
2025-06-12,235,162,3,0,0.3474028211842774,-0.9377159910299093
2025-06-13,214,163,4,0,0.3312212278016865,-0.9435531242349544
2025-06-14,177,164,5,0,0.31494162072895193,-0.9491110448902284
2025-06-15,138,165,6,0,0.2985688173637202,-0.9543881083175908
2025-06-16,243,166,0,0,0.2821076626819194,-0.9593827529490743
2025-06-17,225,167,1,0,0.26556302780405594,-0.9640935007889755
2025-06-18,252,168,2,1,0.24893980855376657,-0.9685189578512204
2025-06-19,249,169,3,1,0.23224292400907015,-0.9726578145718654
2025-06-20,260,170,4,1,0.21547731504673012,-0.976508846196619
2025-06-21,215,171,5,1,0.19864794288017112,-0.9800709131432666
2025-06-22,188,172,6,1,0.18175978759137534,-0.9833429613388902
2025-06-23,257,173,0,1,0.16481784665719793,-0.9863240225317866
2025-06-24,246,174,1,1,0.14782713347053048,-0.9890132145779883
2025-06-25,211,175,2,0,0.13079267585675922,-0.9914097417023038
2025-06-26,225,176,3,0,0.11371951458594969,-0.9935128947338007
2025-06-27,225,177,4,0,0.0966127018812031,-0.9953220513156602
2025-06-28,161,178,5,0,0.07947729992362097,-0.9968366760893436
2025-06-29,152,179,6,0,0.062318379354325076,-0.998056320853012
2025-06-30,246,180,0,0,0.04514101777397193,-0.9989806246941579
2025-07-01,220,181,1,0,0.02795029824021032,-0.999609314096404
2025-07-02,201,182,2,0,0.01075130776352193,-0.9999422030204416
2025-07-03,217,183,3,0,-0.00645086419810515,-0.9999791929590823
2025-07-04,228,184,4,0,-0.023651127245231586,-0.9997202729664083
2025-07-05,183,185,5,0,-0.04084439154329611,-0.9991655196610109
2025-07-06,149,186,6,0,-0.05802556932878035,-0.9983150972033183
2025-07-07,209,187,0,0,-0.07518957641475855,-0.9971692572470178
2025-07-08,197,188,1,0,-0.09233133369539122,-0.9957283388645872
2025-07-09,229,189,2,0,-0.10944576864891556,-0.993992768446958
2025-07-10,225,190,3,0,-0.12652781683868314,-0.9919630595773397
2025-07-11,218,191,4,0,-0.1435724234118113,-0.9896398128792412
2025-07-12,155,192,5,0,-0.16057454459499376,-0.9870237158387383
2025-07-13,165,193,6,0,-0.17752914918703497,-0.984115542601034
2025-07-14,209,194,0,0,-0.19443122004766195,-0.9809161537413774
2025-07-15,202,195,1,0,-0.2112757555821793,-0.9774264960104055
2025-07-16,213,196,2,0,-0.2280577712215198,-0.9736476020539838
2025-07-17,194,197,3,0,-0.24477230089725957,-0.9695805901076308
2025-07-18,219,198,4,0,-0.2614143985111562,-0.965226663665613
2025-07-19,157,199,5,0,-0.2779791393987801,-0.9605871111248129
2025-07-20,148,200,6,0,-0.2944616217868012,-0.9556633054034704
2025-07-21,243,201,0,0,-0.3108569682435036,-0.9504567035349151
2025-07-22,215,202,1,0,-0.3271603271220951,-0.9449688462364056
2025-07-23,257,203,2,1,-0.34336687399638804,-0.939201357453208
2025-07-24,214,204,3,1,-0.3594718130884232,-0.9331559438780432
2025-07-25,262,205,4,1,-0.3754703786876202,-0.9268343944460494
2025-07-26,191,206,5,1,-0.3913578365610259,-0.9202385798054075
2025-07-27,170,207,6,1,-0.4071294853542516,-0.9133704517637858
2025-07-28,255,208,0,1,-0.4227806579826773,-0.9062320427107697
2025-07-29,253,209,1,1,-0.4383067230125192,-0.898825465016444
2025-07-30,215,210,2,0,-0.45370308603134424,-0.8911529104063088
2025-07-31,178,211,3,0,-0.46896519100763184,-0.8832166493127127
2025-08-01,217,212,4,0,-0.48408852163897587,-0.8750190302029955
2025-08-02,150,213,5,0,-0.4990686026885319,-0.8665624788845385
2025-08-03,137,214,6,0,-0.5139010013093103,-0.8578494977869301
2025-08-04,235,215,0,0,-0.5285813283559292,-0.8488826652214553
2025-08-05,219,216,1,0,-0.5431052396834317,-0.8396646346181327
2025-08-06,220,217,2,0,-0.5574684374327892,-0.8301981337405212
2025-08-07,194,218,3,0,-0.5716666713027052,-0.8204859638785327
2025-08-08,206,219,4,0,-0.5856957398073508,-0.8105309990194823
2025-08-09,152,220,5,0,-0.5995514915196489,-0.8003361849976323
2025-08-10,144,221,6,0,-0.6132298262997502,-0.7899045386224707
2025-08-11,223,222,0,0,-0.6267266965083301,-0.7792391467859886
2025-08-12,195,223,1,0,-0.6400381082043503,-0.7683431655492202
2025-08-13,201,224,2,0,-0.65316012232693,-0.7572198192083127
2025-08-14,198,225,3,0,-0.666088855860977,-0.7458723993404063
2025-08-15,250,226,4,0,-0.6788204829862355,-0.734304263829602
2025-08-16,181,227,5,0,-0.6913512362094071,-0.722518835873311
2025-08-17,128,228,6,0,-0.7036774074790128,-0.7105196029692745
2025-08-18,216,229,0,0,-0.7157953492826642,-0.6983101158835584
2025-08-19,189,230,1,0,-0.7277014757264236,-0.6858939875998223
2025-08-20,191,231,2,0,-0.7393922635959241,-0.673274892250183
2025-08-21,199,232,3,0,-0.7508642533989489,-0.6604565640279754
2025-08-22,231,233,4,0,-0.7621140503891487,-0.6474427960827475
2025-08-23,144,234,5,0,-0.7731383255706026,-0.6342374393978054
2025-08-24,130,235,6,0,-0.7839338166829201,-0.620844401650647
2025-08-25,189,236,0,0,-0.7944973291665992,-0.6072676460566135
2025-08-26,207,237,1,0,-0.8048257371083452,-0.593511190196115
2025-08-27,229,238,2,1,-0.8149159841660791,-0.5795791048257612
2025-08-28,231,239,3,1,-0.8247650844733614,-0.5654755126737576
2025-08-29,247,240,4,1,-0.8343701235229537,-0.5512045872199277
2025-08-30,197,241,5,1,-0.8437282590292712,-0.5367705514607103
2025-08-31,159,242,6,1,-0.8528367217694595,-0.522177676659508
2025-09-01,243,243,0,1,-0.8616928164028521,-0.5074302810827518
2025-09-02,283,244,1,1,-0.8702939222685674,-0.49253272872205434
2025-09-03,181,245,2,0,-0.8786374941610001,-0.4774894280028391
2025-09-04,178,246,3,0,-0.886721063082993,-0.46230483047981086
2025-09-05,239,247,4,0,-0.8945422369764496,-0.4469834295196741
2025-09-06,194,248,5,0,-0.9020987014301837,-0.43152975897147144
2025-09-07,122,249,6,0,-0.9093882203647925,-0.4159483918249421
2025-09-08,213,250,0,0,-0.9164086366943458,-0.4002439388573056
2025-09-09,213,251,1,0,-0.9231578729647039,-0.38442104726885545
2025-09-10,223,252,2,0,-0.9296339319682695,-0.3684843993077793
2025-09-11,180,253,3,0,-0.9358348973349941,-0.35243871088460327
2025-09-12,210,254,4,0,-0.9417589340994617,-0.33628873017668287
2025-09-13,164,255,5,0,-0.9474042892438845,-0.32003923622313857
2025-09-14,145,256,6,0,-0.9527692922168511,-0.30369503751065885
2025-09-15,213,257,0,0,-0.9578523554276669,-0.28726097055059635
2025-09-16,207,258,1,0,-0.9626519747161487,-0.2707418984477642
2025-09-17,179,259,2,0,-0.9671667297977312,-0.2541427094613622
2025-09-18,190,260,3,0,-0.97139528468375,-0.23746831555846842
2025-09-19,210,261,4,0,-0.9753363880767837,-0.2207236509605022
2025-09-20,157,262,5,0,-0.9789888737409319,-0.20391367068311472
2025-09-21,131,263,6,0,-0.9823516608469237,-0.18704334906991657
2025-09-22,226,264,0,0,-0.9854237542919524,-0.17011767832049052
2025-09-23,223,265,1,0,-0.9882042449941422,-0.15314166701312007
2025-09-24,201,266,2,0,-0.9906923101615609,-0.13612033862266704
2025-09-25,199,267,3,0,-0.9928872135356962,-0.11905873003404988
2025-09-26,215,268,4,0,-0.994788305609327,-0.10196189005174576
2025-09-27,154,269,5,0,-0.9963950238187231,-0.08483487790576538
2025-09-28,129,270,6,0,-0.9977068927101168,-0.06768276175455162
2025-09-29,224,271,0,0,-0.9987235240803972,-0.050510617185222886
2025-09-30,208,272,1,0,-0.9994446170919858,-0.033323525711631344
2025-10-01,274,273,2,1,-0.9998699583618592,-0.016126573270657762
2025-10-02,262,274,3,1,-0.9999994220246925,0.001075151282798226
2025-10-03,265,275,4,1,-0.999832969770105,0.018276557681691223
2025-10-04,189,276,5,1,-0.9993706508539969,0.03547255575312556
2025-10-05,170,277,6,1,-0.9986126020839734,0.052658056924614005
2025-10-06,282,278,0,1,-0.9975590477788613,0.06982797572987089
2025-10-07,259,279,1,1,-0.9962102997023297,0.0869772313136861
2025-10-08,207,280,2,0,-0.9945667569706337,0.1041007489354256
2025-10-09,171,281,3,0,-0.9926289059345095,0.121193461470736
2025-10-10,229,282,4,0,-0.9903973200352558,0.1382503109109819
2025-10-11,163,283,5,0,-0.9878726596350429,0.15526624985999563
2025-10-12,126,284,6,0,-0.9850556718215013,0.172236243027682
2025-10-13,215,285,0,0,-0.981947190186646,0.18915526872004093
2025-10-14,215,286,1,0,-0.9785481345802031,0.20601832032517084
2025-10-15,203,287,2,0,-0.9748595108374125,0.22282040779479959
2025-10-16,193,288,3,0,-0.9708824104813836,0.23955655912092708
2025-10-17,216,289,4,0,-0.9666180104000972,0.2562218218071163
2025-10-18,154,290,5,0,-0.9620675724981452,0.27281126433401914
2025-10-19,145,291,6,0,-0.957232443323312,0.28931997761869527
2025-10-20,244,292,0,0,-0.9521140536681102,0.3057430764672831
2025-10-21,177,293,1,0,-0.9467139181463862,0.3220757010206104
